﻿NUM_REG;NOMBRE_COMERCIAL;TELEFONO;CALLE;PROVINCIA;LOCALIDAD;MUNICIPIO;CODIGO_POSTAL;NUMERO
40-E1-00025;PEREZ SOPEÑA, CARMEN;921430483;CALLE EZEQUIEL GONZALEZ;SEGOVIA;SEGOVIA;SEGOVIA;;21
40-E1-00027;CASADO RATA, MARIA CORAL;921566012;PLAZA MAYOR;SEGOVIA;BERNARDOS;BERNARDOS;40430;8
40-E1-00030;VILLAS MIGUEL, PILAR;921543849;CALLE BAYONA;SEGOVIA;BOCEGUILLAS;BOCEGUILLAS;40560;21
40-E1-00036;CABALLERO SERRANO, MARIO;921557110;CALLE REAL;SEGOVIA;CEREZO DE ABAJO;CEREZO DE ABAJO;40591;S/N
40-E1-00038;MAROTO ARENAS, ANA ISABEL;921586677;CALLE PLAZA DEL ARCO;SEGOVIA;COCA;COCA;40480;2
40-E1-00039;LOBO RUJAS, DANIEL;921160023;CALLE ALTA;SEGOVIA;GOMEZSERRACIN;GOMEZSERRACÍN;40240;4
40-E1-00043;BALLESTEROS GARCIA, DANIEL;921533507;CALLE REAL;SEGOVIA;FUENTIDUEÑA;FUENTIDUEÑA;40357;36
40-E1-00048;ESTEVEZ SANCHEZ, MARIA DOLORES;920311179;CALLE SAN JUAN;SEGOVIA;MARTIN MUÑOZ DE LAS POSADAS;MARTÍN MUÑOZ DE LAS POSADAS;40446;17
40-E1-00051;DE PABLO HERRERO, GEMA;921500592;CALLE IGLESIA;SEGOVIA;MUÑOVEROS;MUÑOVEROS;40183;16
40-E1-00055;TOMERO DIEZ, CARMEN ISABEL;921575109;PLAZA MAYOR;SEGOVIA;NAVALMANZANO;NAVALMANZANO;40280;S/N
40-E1-00057;CARRASCO HERRERO, MONICA;921506193;CALLE FRAGUA;SEGOVIA;TORRE VAL DE SAN PEDRO;TORRE VAL DE SAN PEDRO;40171;10
40-E1-00059;TOVAR MARTIN, FRANCISCA INES;921483137;CALLE MARTIRES;SEGOVIA;OTERO DE HERREROS;OTERO DE HERREROS;40422;1
40-E1-00072;CACERES ALVAREZ, MARIA MABEL;921500057;PLAZA ESPAÑA;SEGOVIA;TUREGANO;TURÉGANO;;4
40-E1-00074;MELLADO ALCEDO, MARIA;921167132;PLAZA MAYOR;SEGOVIA;VILLAVERDE DE ISCAR;VILLAVERDE DE ÍSCAR;40219;7
40-E1-00077;HERRADON GIL GALLARDO, CRISTINA;921198173;CALLE IGLESIA;SEGOVIA;VILLACASTIN;VILLACASTÍN;40150;18
40-E1-00085;TEJERIZO GARCIA, JAVIER;920311265;CALLE REAL;SEGOVIA;CODORNIZ;CODORNIZ;40463;14
40-E1-00087;GONZALEZ GOMEZ, MARIA ISABEL;921494007;CALLE DOCTOR LAURENTINO CARDIEL;SEGOVIA;VALSECA;VALSECA;40390;18
40-E1-00092;AYUSO BORREGUERO, ANA MARIA;921509525;CALLE NUEVA;SEGOVIA;TORREIGLESIAS;TORREIGLESIAS;40192;9
40-E1-00101;ARRANZ MARTIN, MARIA;921406173;CALLE CARRETERA TRESCASAS;SEGOVIA;San Cristobal de Segovia;SAN CRISTÓBAL DE SEGOVIA;;44
42-E1-00003;BENITO LOPEZ, MARIA TERESA;975301281;CALLE RONDA DE SAN FRANCISCO;SORIA;ALMAZAN;ALMAZÁN;42200;1
42-E1-00004;AIT SERHANE BAKOUR, ADNAN;975300158;CALLE JUSTO Y SANCHEZ;SORIA;ALMAZAN;ALMAZÁN;42200;2
42-E1-00005;HERNANDEZ RAMOS, ADRIANA;975310064;CALLE MERCED (LA);SORIA;ALMAZAN;ALMAZÁN;42200;35
42-E1-00006;CARRASCOSA MARTINEZ, ANGELA;975301211;CALLE SAN SALVADOR;SORIA;ALMAZAN;ALMAZÁN;42200;1
