NOMBRE GERENCIA;CÓDIGO ZONA;NOMBRE ZONA;NOMBRE CENTRO SALUD;MUNICIPIO;PAC
G.A.P. LEON;170308;BAÑEZA I LA;C.S. LA BAÑEZA I;BAÑEZA (LA);P.A.C. La Bañeza
G.A.P. LEON;170309;BAÑEZA II LA;C.S. BAÑEZA II;BAÑEZA (LA);P.A.C. La Bañeza
G.A.P. SALAMANCA;170618;LUMBRALES;C.S. LUMBRALES;BAÑOBAREZ;P.A.C. Lumbrales
G.A.P. BURGOS;170202;ARANDA DE DUERO RURAL;C.S. ARANDA RURAL;BAÑOS DE VALDEARADOS;P.A.C. Aranda
G.A.P. BURGOS;170205;BRIVIESCA;C.S. BRIVIESCA;BAÑUELOS DE BUREBA;P.A.C. Briviesca
G.A.S. PALENCIA;170518;VILLARRAMIEL;C.S. VILLARRAMIEL;BAQUERIN DE CAMPOS;P.A.C. Villarramiel
G.A.S. SORIA;170802;ALMAZAN;C.S. ALMAZAN;BARAONA;P.A.C. Almazán
G.A.P. SALAMANCA;170623;PERIURBANA SUR;C.S. PERIURBANO SUR;BARBADILLO;P.A.C. Periurbano Sur
G.A.P. BURGOS;170226;SALAS DE LOS INFANTES;C.S. SALAS LOS INFANTES;BARBADILLO DE HERREROS;P.A.C. Salas Los Infantes
G.A.P. BURGOS;170226;SALAS DE LOS INFANTES;C.S. SALAS LOS INFANTES;BARBADILLO DEL MERCADO;P.A.C. Salas Los Infantes
G.A.P. BURGOS;170226;SALAS DE LOS INFANTES;C.S. SALAS LOS INFANTES;BARBADILLO DEL PEZ;P.A.C. Salas Los Infantes
G.A.P. SALAMANCA;170617;LINARES DE RIOFRIO;C.S. LINARES DE RIOFRIO;BARBALOS;P.A.C. Linares De Riofrío
G.A.P. SALAMANCA;170630;TAMAMES;C.S. TAMAMES;BARBALOS;P.A.C. Tamames
G.A.S. SEGOVIA;170712;SEPULVEDA;C.S. SEPULVEDA;BARBOLLA;P.A.C. Sepúlveda
G.A.S. SORIA;170802;ALMAZAN;C.S. ALMAZAN;BARCA;P.A.C. Almazán
G.A.S. PALENCIA;170510;OSORNO;C.S. OSORNO;BARCENA DE CAMPOS;P.A.C. Osorno
G.A.P. SALAMANCA;170634;VITIGUDINO;C.S. VITIGUDINO;BARCEO;P.A.C. Vitigudino
G.A.P. VALLADOLID OESTE;170924;VILLAFRECHOS;C.S. VILLAFRECHOS;BARCIAL DE LA LOMA;P.A.C. Villafrechós
G.A.S. ZAMORA;171105;BENAVENTE SUR;C.S. BENAVENTE SUR;BARCIAL DEL BARCO;P.A.C. Benavente
G.A.S. AVILA;170108;BARCO DE AVILA EL;C.S. BARCO DE AVILA;BARCO DE AVILA (EL);P.A.C. Barco de Ávila
